STUDENT ID,SALUTATION,GENDER,NATIONALITY,DOB,HIGHEST QUALIFICATION,NAME OF QUALIFICATION AND INSTITUTION,DATE ATTAINED HIGHEST QUALIFICATION,DESIGNATION,INTAKE NO,COMMENCEMENT DATE,COMPLETION DATE,FULL-TIME OR PART-TIME,COURSE FUNDING,REGISTRATION FEE,PAYMENT MODE,COURSE FEE,GPA,CITIZENSHIP_STATUS,date_diff,COURSE,Age,GPA Category,Job Category,Age Group
2020/1101-016/012,Ms,F,Singaporean,1983-07-19,Degree,"Bachelor of Arts in Accounting, University of Bedfordshire",2017-11-01,Accounts cum HR Executive,16th,2020-09-01,2021-11-30,Part-Time,Individual,107,GIRO,1712,2.6,L,455,Diploma in Business Administration,40,2 - 3,Human Resources,25 to 40
2020/1101-016/013,Ms,F,Singaporean,1989-02-10,Degree,"Bachelor of Science (Business Management), University of Birmingham",2019-08-01,No Designation,16th,2020-09-01,2021-11-30,Part-Time,Subsidiesed,107,GIRO,1712,4.0,L,455,Diploma in Business Administration,35,More Than 3.5,Others,25 to 40
2020/1101-016/014,Ms,F,Singaporean,1996-05-03,Certificate,N level,2017-09-01,Admin & HR Executive,16th,2020-09-01,2021-11-30,Part-Time,Sponsored,107,GIRO,1604,3.2,L,455,Diploma in Business Administration,28,3 - 3.5,Human Resources,25 to 40
2020/1101-017/015,Ms,F,Singaporean,1994-08-27,Diploma,"Diploma in Events Management, Kaplan",2018-11-02,HR Assistant,17th,2020-11-02,2022-02-02,Part-Time,Sponsored,107,Bank Transfer,1604,3.0,L,457,Diploma in Business Administration,29,3 - 3.5,Human Resources,25 to 40
2020/1101-017/016,Ms,F,Singaporean,1980-01-27,Diploma,"Diploma in Hotel Management, SHATEC",2019-01-02,Rooms Division Manager,17th,2020-11-02,2022-02-02,Part-Time,Subsidiesed,107,GIRO,1712,2.9,L,457,Diploma in Business Administration,44,2 - 3,Management,40 and Above
2020/1101-017/017,Ms,F,Singaporean,1995-04-16,Diploma,"Diploma in Healthcare Administration, Republic Polytechnic",2018-04-02,"HR Associate, Southeast Asia",17th,2020-11-02,2022-02-02,Part-Time,Sponsored,107,GIRO,1604,3.4,L,457,Diploma in Business Administration,29,3 - 3.5,Human Resources,25 to 40
2020/1101-017/018,Ms,F,Singaporean,1983-06-18,Certificate,N level,2018-01-02,No Designation,17th,2020-11-02,2022-02-02,Part-Time,Subsidiesed,107,GIRO,1712,3.3,L,457,Diploma in Business Administration,41,3 - 3.5,Others,40 and Above
2020/1101-017/019,Ms,F,Singaporean,1989-06-01,Degree,"Bachelor of Science in Business, UOL",2016-12-02,Administrative Executive,17th,2020-11-02,2022-02-02,Part-Time,Sponsored,107,GIRO,1604,1.8,L,457,Diploma in Business Administration,35,1 - 2,Administration,25 to 40
2019/1101-007/001,Ms,F,Foreigner,1981-09-13,Certificate,SPM,2018-01-08,Admin & HR Assistant,7th,2019-01-08,2020-04-07,Part-Time,Individual,107,GIRO,1712,3.2,F,455,Diploma in Business Administration,42,3 - 3.5,Human Resources,40 and Above
2019/1101-007/002,Ms,F,Singaporean,1979-07-26,Certificate,"Certificate in Office Skills, ITE",2016-06-08,Admin Assistant,7th,2019-01-08,2020-04-07,Part-Time,Subsidiesed,107,NETS,1712,3.1,L,455,Diploma in Business Administration,44,3 - 3.5,Administration,40 and Above
2019/1101-007/003,Ms,F,Foreigner,1990-01-02,Degree,"Bachelor of Business Administration, University of Rajasthan, India",2015-08-08,No Designation,7th,2019-01-08,2020-04-07,Part-Time,Individual,107,NETS,1712,3.1,F,455,Diploma in Business Administration,34,3 - 3.5,Others,25 to 40
2019/1101-007/004,Ms,F,Foreigner,1976-04-20,Diploma,"Office Management Diploma, NCOI Rotterdam, The Netherlands",2018-02-08,HR Support / Office Manager,7th,2019-01-08,2020-04-07,Part-Time,Individual,107,NETS,1712,3.6,F,455,Diploma in Business Administration,48,More Than 3.5,Human Resources,40 and Above
2019/1101-007/005,Ms,F,Singaporean,1983-11-25,Diploma,"Diploma in Business Admininstration, LCCI Level 3, Private Secretary's Diploma, LCCI",2015-06-08,"Executive, Administration",7th,2019-01-08,2020-04-07,Part-Time,Sponsored,107,Bank Transfer,1604,2.2,L,455,Diploma in Business Administration,40,2 - 3,Administration,25 to 40
2019/1101-008/006,Ms,F,Permanent Resident,1968-10-17,Certificate,"Lower Secondary Education, Malaysia",2015-05-07,Administrator,8th,2019-03-07,2020-06-06,Part-Time,Subsidiesed,107,Bank Transfer,1212,1.8,F,457,Diploma in Business Administration,55,1 - 2,Administration,40 and Above
2019/1101-008/007,Ms,F,Permanent Resident,1979-10-22,Master,"Master in Computer Science, Osmania University, India",2015-06-07,No Designation,8th,2019-03-07,2020-06-06,Part-Time,Individual,107,Bank Transfer,1712,2.7,F,457,Diploma in Business Administration,44,2 - 3,Others,40 and Above
2019/1101-008/008,Ms,F,Singaporean,1980-06-29,Certificate,N' level,2015-07-07,Admin & Finance Executive,8th,2019-03-07,2020-06-06,Part-Time,Sponsored,107,GIRO,1604,1.7,L,457,Diploma in Business Administration,44,1 - 2,Administration,40 and Above
2019/1101-008/009,Ms,F,Singaporean,1976-05-25,Certificate,O' level,2015-08-07,Admin Assistant,8th,2019-03-07,2020-06-06,Part-Time,Individual,107,NETS,1712,1.8,L,457,Diploma in Business Administration,48,1 - 2,Administration,40 and Above
2019/1101-009/010,Ms,F,Singaporean,1983-11-30,Certificate,N Level,2018-05-07,Operation Executive,9th,2019-05-07,2020-08-06,Part-Time,Sponsored,107,Bank Transfer,1604,2.9,L,457,Diploma in Business Administration,40,2 - 3,Operations and Logistics,25 to 40
2019/1101-009/011,Ms,F,Foreigner,1992-08-07,Certificate,SPM,2017-05-07,Clerk,9th,2019-05-07,2020-08-06,Part-Time,Individual,107,Bank Transfer,1712,3.0,F,457,Diploma in Business Administration,31,3 - 3.5,Administration,25 to 40
2019/1101-010/012,Ms,F,Permanent Resident,1988-02-11,Degree,"Bahcelor of Management (Marketing), Universiti Teknologi Malaysia",2018-08-09,HR & Admin,10th,2019-07-09,2020-10-08,Part-Time,Sponsored,107,Bank Transfer,1712,3.0,F,457,Diploma in Business Administration,36,3 - 3.5,Human Resources,25 to 40
2019/1101-010/013,Mr,M,Singaporean,1990-01-31,Diploma,"Diploma in Multimedia & Infocomm Technology, Nanyang Polytechnic",2015-11-09,Early Childhood Support Office,10th,2019-07-09,2020-10-08,Part-Time,Subsidiesed,107,Bank Transfer,1712,1.8,L,457,Diploma in Business Administration,34,1 - 2,Administration,25 to 40
2019/1101-010/014,Ms,F,Singaporean,1973-04-20,Certificate,O' level,2016-02-09,Office Manager,10th,2019-07-09,2020-10-08,Part-Time,Sponsored,107,GIRO,1712,1.9,L,457,Diploma in Business Administration,51,1 - 2,Administration,40 and Above
2019/1101-010/015,Ms,F,Singaporean,1991-09-03,Certificate,O' level,2016-03-09,Business Development Executive,10th,2019-07-09,2020-10-08,Part-Time,Subsidiesed,107,Bank Transfer,1712,2.3,L,457,Diploma in Business Administration,32,2 - 3,Others,25 to 40
2019/1101-010/016,Ms,F,Singaporean,1990-06-17,Certificate,N Level,2018-01-09,Human Resource Assistant,10th,2019-07-09,2020-10-08,Part-Time,Sponsored,107,GIRO,1604,3.7,L,457,Diploma in Business Administration,34,More Than 3.5,Human Resources,25 to 40
2019/1101-010/017,Ms,F,Singaporean,1990-04-01,Degree,"Bachelor of Arts in Business with Logistics and Supply Chain Management, University of Northumbria",2016-03-09,"Executive, Planning & Delivery",10th,2019-07-09,2020-10-08,Part-Time,Individual,107,Bank Transfer,1712,2.8,L,457,Diploma in Business Administration,34,2 - 3,Others,25 to 40
2019/1101-010/019,Ms,F,Foreigner,1986-10-09,Certificate,SPM,2016-08-09,Admin Assistant,10th,2019-07-09,2020-10-08,Part-Time,Sponsored,107,Bank Transfer,1712,3.1,F,457,Diploma in Business Administration,37,3 - 3.5,Administration,25 to 40
2019/1101-010/020,Ms,F,Singaporean,1997-03-08,Diploma,"Diploma in Business, Temasek Polytechnic",2017-12-09,Secretary,10th,2019-07-09,2020-10-08,Part-Time,Individual,107,Bank Transfer,1712,2.2,L,457,Diploma in Business Administration,27,2 - 3,Administration,25 to 40
2019/1101-010/021,Ms,F,Singaporean,1970-02-08,Diploma,"Diploma in Business Administration, PSB Academy",2016-02-09,Executive Assistant,10th,2019-07-09,2020-10-08,Part-Time,Subsidiesed,107,Bank Transfer,1712,3.1,L,457,Diploma in Business Administration,54,3 - 3.5,Others,40 and Above
2019/1101-010/022,Ms,F,Singaporean,1973-08-03,Certificate,"Certificate in Office Skills, ITE",2017-01-09,Secretary,10th,2019-07-09,2020-10-08,Part-Time,Subsidiesed,107,Bank Transfer,1712,2.2,L,457,Diploma in Business Administration,50,2 - 3,Administration,40 and Above
2019/1101-010/023,Ms,F,Singaporean,1994-11-13,Diploma,"Advanced Diploma in Tourism, Hospitality and Event Management, MDIS",2016-01-09,Admin Assistant,10th,2019-07-09,2020-10-08,Part-Time,Individual,107,Bank Transfer,1712,3.1,L,457,Diploma in Business Administration,29,3 - 3.5,Administration,25 to 40
2019/1101-010/024,Ms,F,Singaporean,1983-10-02,Diploma,"Diploma in Multimedia Software Engineering, Singapore Polytechnic",2015-09-09,Senior Assistant (Tenant Administration),10th,2019-07-09,2020-10-08,Part-Time,Subsidiesed,107,Bank Transfer,1712,1.7,L,457,Diploma in Business Administration,40,1 - 2,Administration,25 to 40
2019/1101-011/025,Ms,F,Singaporean,1969-02-16,Certificate,"O' levels, Diploma in Business Management (distance learning), Glasgow, Dublin",2018-10-10,Admin Assistant,11th,2019-09-10,2020-12-09,Part-Time,Sponsored,107,Bank Transfer,1604,3.3,L,456,Diploma in Business Administration,55,3 - 3.5,Administration,40 and Above
2019/1101-011/026,Ms,F,Singaporean,1992-04-18,Certificate,"Sec 2, WPLN (Reading, Speaking, Listening, Writing) & Numeracy",2016-11-10,Admin Assistant,11th,2019-09-10,2020-12-09,Part-Time,Subsidiesed,107,Bank Transfer,1212,3.0,L,456,Diploma in Business Administration,32,3 - 3.5,Administration,25 to 40
2019/1101-011/027,Ms,F,Permanent Resident,1978-06-16,Certificate,"Certified Accounting Technicians (CATS), ACCA, SPM",2018-09-10,Senior HR Officer,11th,2019-09-10,2020-12-09,Part-Time,Subsidiesed,107,Bank Transfer,1212,3.7,L,456,Diploma in Business Administration,46,More Than 3.5,Human Resources,40 and Above
2019/1101-011/028,Ms,F,Permanent Resident,1987-10-19,Diploma,"Diploma of Hospitality Management, Australian Academy of Hospitality Management",2016-12-10,HR Executive,11th,2019-09-10,2020-12-09,Part-Time,Sponsored,107,Bank Transfer,1604,3.0,L,456,Diploma in Business Administration,36,3 - 3.5,Human Resources,25 to 40
2019/1101-011/029,Ms,F,Singaporean,1973-04-30,Certificate,"Certified Accounting Technicians (CATS), ACCA, 'O' levels",2016-09-10,No Designation,11th,2019-09-10,2020-12-09,Part-Time,Individual,107,Bank Transfer,1712,2.9,L,456,Diploma in Business Administration,51,2 - 3,Others,40 and Above
2019/1101-012/030,Mr,M,Singaporean,1977-12-06,Certificate,"NTC 2, N Level, WPLN",2016-02-05,Manager,12th,2019-11-05,2021-02-04,Part-Time,Individual,107,NETS,1712,2.1,L,457,Diploma in Business Administration,46,2 - 3,Management,40 and Above
2019/1101-012/031,Ms,F,Singaporean,1976-04-27,Certificate,"O' level, 'N' Level, WPLN",2016-08-05,No Designation,12th,2019-11-05,2021-02-04,Part-Time,Individual,107,NETS,1712,3.1,L,457,Diploma in Business Administration,48,3 - 3.5,Others,40 and Above
2019/1101-012/032,Ms,F,Singaporean,1986-05-02,Diploma,"Diploma in Masss Communication, MDIS",2018-07-05,Relationship and Marketing Executive,12th,2019-11-05,2021-02-04,Part-Time,Subsidiesed,107,NETS,1712,3.5,L,457,Diploma in Business Administration,38,More Than 3.5,Marketing and Public Relations,25 to 40
2019/1101-012/033,Ms,F,Singaporean,1980-03-01,Certificate,N level,2018-07-05,Secretary,12th,2019-11-05,2021-02-04,Part-Time,Individual,107,NETS,1712,3.0,L,457,Diploma in Business Administration,44,3 - 3.5,Administration,40 and Above
2020/2101-110/001,Ms,F,Singaporean,1993-02-12,Certificate,"Nitec in Hair Fashion & Design, ITE",2017-11-08,Administrative Assistant,110th,2020-06-08,2021-03-05,Part-Time,Subsidiesed,107,GIRO,2996,3.4,L,270,Certificate in HR Management,31,3 - 3.5,Administration,25 to 40
2020/2101-110/002,Ms,F,Singaporean,1974-06-11,Certificate,"SPM, LCCI",2018-07-08,"Business Support Manager, APAC",110th,2020-06-08,2021-03-05,Part-Time,Individual,107,GIRO,2996,3.4,L,270,Certificate in HR Management,50,3 - 3.5,Management,40 and Above
2020/2101-111/003,Ms,F,Singaporean,1989-05-27,Diploma,"Diploma in Commerce (Biz Admin), Kaplan / Diploma in Biz Admin (Business, Travel & Tourism), Newcastle School of Management",2019-06-28,Team Assistant,111th,2020-09-28,2021-06-23,Part-Time,Sponsored,107,GIRO,2696,3.0,L,268,Certificate in HR Management,35,3 - 3.5,Others,25 to 40
2020/2101-111/004,Ms,F,Singaporean,1992-04-18,Certificate,"Foundation Certificate in HRM, SHRI Academy",2019-01-28,No Designation,111th,2020-09-28,2021-06-23,Part-Time,Individual,0,NETS,2996,2.4,L,268,Certificate in HR Management,32,2 - 3,Others,25 to 40
2020/2101-111/005,Ms,F,Singaporean,1992-09-22,Degree,"Bachelor of Business (Marketing), RMIT",2018-08-28,APAC HR Specialist,111th,2020-09-28,2021-06-23,Part-Time,Sponsored,107,GIRO,2696,2.8,L,268,Certificate in HR Management,31,2 - 3,Human Resources,25 to 40
2020/2101-111/006,Ms,F,Singaporean,1988-10-18,Certificate,O' level,2018-03-28,Snr Client Service Executive,111th,2020-09-28,2021-06-23,Part-Time,Individual,107,GIRO,1496,3.3,L,268,Certificate in HR Management,35,3 - 3.5,Customer Service and Sales,25 to 40
2020/2101-111/007,Ms,F,Singaporean,2001-11-12,Certificate,"Nitec in Electronics, Computer Networking & Communications, ITE",2019-06-28,HR Intern,111th,2020-09-28,2021-06-23,Part-Time,Individual,107,GIRO,1996,3.3,L,268,Certificate in HR Management,22,3 - 3.5,Human Resources,Below 25
2020/2101-111/008,Ms,F,Singaporean,1969-12-18,Certificate,"Basic Certificate in HRM, SHRI",2017-04-28,"Executive, Corporate Services",111th,2020-09-28,2021-06-23,Part-Time,Individual,107,GIRO,1496,3.0,L,268,Certificate in HR Management,54,3 - 3.5,Customer Service and Sales,40 and Above
2020/2101-111/009,Ms,F,Singaporean,1987-12-11,Certificate,O' level,2018-08-28,Admin Executive,111th,2020-09-28,2021-06-23,Part-Time,Subsidiesed,107,GIRO,2496,3.3,L,268,Certificate in HR Management,36,3 - 3.5,Administration,25 to 40
2020/2101-112/010,Ms,F,Singaporean,1984-02-13,Degree,"Bachelor of Commerce (Management and Marketing), Curtin University of Technology",2017-05-16,Manager (Engagement),112th,2020-11-16,2021-08-13,Part-Time,Subsidiesed,107,GIRO,1996,1.5,L,270,Certificate in HR Management,40,1 - 2,Management,25 to 40
2020/2101-112/011,Ms,F,Singaporean,1987-07-13,Degree,"Bachelor of Science in Business, SUSS",2017-01-16,Executive,112th,2020-11-16,2021-08-13,Part-Time,Subsidiesed,107,GIRO,1996,2.5,L,270,Certificate in HR Management,37,2 - 3,Others,25 to 40
2020/2101-112/012,Ms,F,Singaporean,1994-07-15,Diploma,"Diploma in Integrated Events Management, Republic Polytechnic",2018-09-16,"Associate, HR & General Affairs",112th,2020-11-16,2021-08-13,Part-Time,Subsidiesed,107,GIRO,1996,3.4,L,270,Certificate in HR Management,30,3 - 3.5,Human Resources,25 to 40
2019/2101-106/001,Ms,F,Permanent Resident,1984-08-07,Degree,"Bachelor of Science (HRD), Universiti Teknologi Malaysia",2016-04-04,Manager,106th,2019-03-04,2019-12-03,Part-Time,Individual,107,NETS,2996,3.1,F,274,Certificate in HR Management,39,3 - 3.5,Management,25 to 40
2019/2101-106/002,Ms,F,Permanent Resident,1987-08-09,Certificate,"Certificate in Computer, Jiangsu Vocational Middle School, Certificate in Grammar & Writing Intermediate Level, Ascend Education Centre",2017-10-04,HR Assistant,106th,2019-03-04,2019-12-03,Part-Time,Individual,107,GIRO,2996,3.0,F,274,Certificate in HR Management,36,3 - 3.5,Human Resources,25 to 40
2019/2101-107/003,Ms,F,Singaporean,1981-06-19,Diploma,"Diploma in Mechatronic Engineering, Nee Ann Polytechnic",2016-12-24,HR Manager,107th,2019-04-24,2020-01-23,Part-Time,Sponsored,107,Bank Transfer,2696,3.3,L,274,Certificate in HR Management,43,3 - 3.5,Human Resources,40 and Above
2019/2101-107/004,Ms,F,Singaporean,1999-09-28,Certificate,"Higher Nitec in Hospitality Operations, ITE",2017-09-24,Admin Executive,107th,2019-04-24,2020-01-23,Part-Time,Individual,107,NETS,2996,3.3,L,274,Certificate in HR Management,24,3 - 3.5,Administration,Below 25
2019/2101-107/005,Ms,F,Singaporean,1967-10-19,Certificate,O' level,2015-07-24,"Senior Vice President, Gaming Division",63th,2019-04-24,2020-01-23,Part-Time,Individual,0,NETS,2996,2.4,L,274,Certificate in HR Management,56,2 - 3,Management,40 and Above
2019/2101-107/006,Ms,F,Singaporean,1995-10-04,Certificate,"Higher Nitec in Business Studies (Service Management), ITE",2017-04-24,Admin Assistant,107th,2019-04-24,2020-01-23,Part-Time,Sponsored,107,Bank Transfer,2696,2.4,L,274,Certificate in HR Management,28,2 - 3,Administration,25 to 40
2019/2101-107/007,Ms,F,Singaporean,1999-05-24,Certificate,O' levels,2018-04-24,No Designation,107th,2019-04-24,2020-01-23,Part-Time,Individual,107,GIRO,2996,3.0,L,274,Certificate in HR Management,25,3 - 3.5,Others,Below 25
2019/2101-107/008,Ms,F,Singaporean,2001-12-04,Certificate,O' levels,2015-05-24,No Designation,107th,2019-04-24,2020-01-23,Part-Time,Individual,107,NETS,2996,2.8,L,274,Certificate in HR Management,22,2 - 3,Others,Below 25
2019/2101-107/009,Ms,F,Singaporean,1987-10-21,Certificate,"WSQ Higher Certificate in Human Resources, HCS ",2016-03-24,No Designation,107th,2019-04-24,2020-01-23,Part-Time,Subsidiesed,107,GIRO,2496,1.9,L,274,Certificate in HR Management,36,1 - 2,Others,25 to 40
2019/2101-108/010,Mr,M,Singaporean,1994-08-04,Certificate,"Nitec in Fitness Training, ITE",2015-09-05,HR Executive (TA Operations),108th,2019-08-05,2020-05-04,Part-Time,Subsidiesed,107,NETS,2996,3.0,L,273,Certificate in HR Management,29,3 - 3.5,Human Resources,25 to 40
2019/2101-108/011,Ms,F,Foreigner,1986-02-18,Certificate,"SPM, Certificate in Business Studies (Business Administration) Level IV, Tunku Abdul Rahman College",2016-08-05,HR Executive,108th,2019-08-05,2020-05-04,Part-Time,Sponsored,107,Bank Transfer,2996,3.1,F,273,Certificate in HR Management,38,3 - 3.5,Human Resources,25 to 40
2019/2101-108/012,Ms,F,Singaporean,1979-09-11,Certificate,"SPM, LCCI Level 2 Certificate in Book-keeping and Accounts / LCCI Level 3 Business Statistics",2016-12-05,HR Executive,108th,2019-08-05,2020-05-04,Part-Time,Individual,107,Bank Transfer,2996,2.9,L,273,Certificate in HR Management,44,2 - 3,Human Resources,40 and Above
2019/2101-108/013,Ms,F,Singaporean,1994-12-24,Diploma,"Diploma in Financial Informatics, Nanyang Polytechnic, CPA, SHRI Academy",2018-03-05,HR Administrator,108th,2019-08-05,2020-05-04,Part-Time,Sponsored,107,GIRO,2696,3.9,L,273,Certificate in HR Management,29,More Than 3.5,Human Resources,25 to 40
2019/2101-108/014,Ms,F,Singaporean,1976-05-25,Certificate,"O' level, Foundation Certificate in Human Resource Management, SHRI Academy",2018-04-05,Admin Assistant,108th,2019-08-05,2020-05-04,Part-Time,Individual,0,Bank Transfer,2996,2.8,L,273,Certificate in HR Management,48,2 - 3,Administration,40 and Above
2019/2101-109/015,Mr,M,Singaporean,1998-04-23,Certificate,A level,2018-05-25,Admin Support Assistance,109th,2019-09-28,2019-11-25,Part-Time,Individual,107,Bank Transfer,2996,3.7,L,58,Certificate in HR Management,26,More Than 3.5,Administration,25 to 40
2019/2101-109/016,Ms,F,Foreigner,1986-12-23,Degree,"Bachelor of Arts (Mass Communication), New Era University, Quezon City, Philippines",2018-06-25,HR Executive,109th,2019-09-28,2019-11-25,Part-Time,Sponsored,107,Bank Transfer,2996,3.5,F,58,Certificate in HR Management,37,More Than 3.5,Human Resources,25 to 40
2019/2101-109/017,Ms,F,Foreigner,1992-09-12,Certificate,SPM,2018-10-25,HR Administrator,109th,2019-09-28,2019-11-25,Part-Time,Individual,107,GIRO,2996,3.0,F,58,Certificate in HR Management,31,3 - 3.5,Human Resources,25 to 40
2019/2101-109/018,Mr,M,Singaporean,1998-10-10,Certificate,O' level,2017-10-25,Service Crew,109th,2019-09-28,2019-11-25,Part-Time,Individual,107,Bank Transfer,2996,2.7,L,58,Certificate in HR Management,25,2 - 3,Customer Service and Sales,Below 25
2019/2101-109/019,Ms,F,Singaporean,1983-11-30,Certificate,"N Level, Foundation Certificate in HRM, SHRI Academy",2016-09-25,Sales & Operation Executive,109th,2019-09-28,2019-11-25,Part-Time,Sponsored,0,Bank Transfer,2696,2.4,L,58,Certificate in HR Management,40,2 - 3,Customer Service and Sales,25 to 40
2019/2101-109/021,Ms,F,Singaporean,1987-07-14,Certificate,O level,2018-12-25,Business Development Executive,109th,2019-09-28,2019-11-25,Part-Time,Individual,107,Bank Transfer,2996,3.9,L,58,Certificate in HR Management,37,More Than 3.5,Others,25 to 40
2019/2101-109/022,Ms,F,Singaporean,1978-11-30,Certificate,"Certificate in Office Skills, ITE",2018-05-25,Executive,109th,2019-09-28,2019-11-25,Part-Time,Individual,107,GIRO,2996,3.0,L,58,Certificate in HR Management,45,3 - 3.5,Others,40 and Above
2019/2101-109/023,Ms,F,Foreigner,1998-11-05,Certificate,SPM,2017-02-25,PR Officer,109th,2019-09-28,2019-11-25,Part-Time,Individual,107,Bank Transfer,2996,3.2,F,58,Certificate in HR Management,25,3 - 3.5,Administration,Below 25
2020/2102-068/001,Ms,F,Singaporean,1993-01-20,Degree,"Bachelor of Science (Business Management), UOL",2017-08-22,Executive,68th,2020-07-22,2020-09-21,Part-Time,Subsidiesed,107,Bank Transfer,1388,3.3,L,61,Certificate in Digital Marketing,31,3 - 3.5,Others,25 to 40
2020/2102-068/002,Ms,F,Singaporean,1976-11-04,Diploma,"Diploma in Business Administration (Accounting & Finance), PSB Academy",2019-01-22,"Snr Executive, Accounts",68th,2020-07-22,2020-09-21,Part-Time,Subsidiesed,107,Bank Transfer,1415,3.2,L,61,Certificate in Digital Marketing,47,3 - 3.5,Finance and Accounting,40 and Above
2020/2102-068/003,Ms,F,Singaporean,1973-10-09,Diploma,LCCI Diploma in Accounting (Third Level),2019-03-22,Snr Accounts Officer,68th,2020-07-22,2020-09-21,Part-Time,Subsidiesed,107,Bank Transfer,1415,3.8,L,61,Certificate in Digital Marketing,50,More Than 3.5,Administration,40 and Above
2020/2102-068/004,Ms,F,Singaporean,1988-12-27,Diploma,"Diploma in Sales & Marketing, MIS",2017-04-22,"Executive, Student Care Services",68th,2020-07-22,2020-09-21,Part-Time,Subsidiesed,107,Bank Transfer,1415,2.0,L,61,Certificate in Digital Marketing,35,2 - 3,Customer Service and Sales,25 to 40
2020/2102-068/005,Ms,F,Permanent Resident,1992-11-11,Degree,"Bachelor of Engineering, Universiti Malaysia Perlis",2017-06-22,Device Engineer,68th,2020-07-22,2020-09-21,Part-Time,Individual,107,Bank Transfer,1388,2.9,L,61,Certificate in Digital Marketing,31,2 - 3,Technical and IT,25 to 40
2020/2102-068/006,Ms,F,Singaporean,1985-09-11,Certificate,"Certificate in Opticianry Practice, Republic Poly, WPLN",2017-04-22,No Designation,68th,2020-07-22,2020-09-21,Part-Time,Subsidiesed,107,Bank Transfer,1388,1.8,L,61,Certificate in Digital Marketing,38,1 - 2,Others,25 to 40
2020/2102-068/007,Ms,F,Singaporean,1989-08-26,Certificate,O level,2017-07-22,No Designation,68th,2020-07-22,2020-09-21,Part-Time,Individual,107,Bank Transfer,1388,2.8,L,61,Certificate in Digital Marketing,34,2 - 3,Others,25 to 40
